Date,Close
20-04-2020,69.232498
21-04-2020,67.092499
22-04-2020,69.025002
23-04-2020,68.7575
24-04-2020,70.7425
27-04-2020,70.792503
28-04-2020,69.644997
29-04-2020,71.932503
30-04-2020,73.449997
01-05-2020,72.267502
04-05-2020,73.290001
05-05-2020,74.389999
06-05-2020,75.157501
07-05-2020,75.934998
08-05-2020,77.532501
11-05-2020,78.752502
12-05-2020,77.852501
13-05-2020,76.912498
14-05-2020,77.385002
15-05-2020,76.927498
18-05-2020,78.739998
19-05-2020,78.285004
20-05-2020,79.807503
21-05-2020,79.212502
22-05-2020,79.722504
26-05-2020,79.182503
27-05-2020,79.527496
28-05-2020,79.5625
29-05-2020,79.485001
01-06-2020,80.462502
02-06-2020,80.834999
03-06-2020,81.279999
04-06-2020,80.580002
05-06-2020,82.875
08-06-2020,83.364998
09-06-2020,85.997498
10-06-2020,88.209999
11-06-2020,83.974998
12-06-2020,84.699997
15-06-2020,85.747498
16-06-2020,88.019997
17-06-2020,87.897499
18-06-2020,87.932503
19-06-2020,87.43
22-06-2020,89.717499
23-06-2020,91.6325
24-06-2020,90.014999
25-06-2020,91.209999
26-06-2020,88.407501
29-06-2020,90.445
30-06-2020,91.199997
01-07-2020,91.027496
02-07-2020,91.027496
06-07-2020,93.462502
07-07-2020,93.172501
08-07-2020,95.342499
09-07-2020,95.752502
10-07-2020,95.919998
13-07-2020,95.477501
14-07-2020,97.057503
15-07-2020,97.724998
16-07-2020,96.522499
17-07-2020,96.327499
20-07-2020,98.357498
21-07-2020,97
22-07-2020,97.272499
23-07-2020,92.845001
24-07-2020,92.614998
27-07-2020,94.809998
28-07-2020,93.252502
29-07-2020,95.040001
30-07-2020,96.190002
31-07-2020,106.260002
03-08-2020,108.9375
04-08-2020,109.665001
05-08-2020,110.0625
06-08-2020,113.902496
07-08-2020,111.112503
10-08-2020,112.727501
11-08-2020,109.375
12-08-2020,113.010002
13-08-2020,115.010002
14-08-2020,114.907501
17-08-2020,114.607498
18-08-2020,115.5625
19-08-2020,115.707497
20-08-2020,118.275002
21-08-2020,124.370003
24-08-2020,125.857498
25-08-2020,124.824997
26-08-2020,126.522499
27-08-2020,125.010002
28-08-2020,124.807503
31-08-2020,129.039993
01-09-2020,134.179993
02-09-2020,131.399994
03-09-2020,120.879997
04-09-2020,120.959999
08-09-2020,112.82
09-09-2020,117.32
10-09-2020,113.489998
11-09-2020,112
14-09-2020,115.360001
